Epoch,Train Loss,Val Loss,Val Accuracy
1,0.2026343991134669,0.11010584454313169,98.17567567567568
2,0.09761390342653319,0.08869820575298124,98.17567567567568
3,0.0852938883712744,0.08206913134898457,98.17567567567568
4,0.08038273524211366,0.07857211656661796,98.17567567567568
5,0.077445715072502,0.07616928438831039,98.17567567567568
6,0.0752689068319677,0.07425727194013895,98.17567567567568
7,0.07349179933850379,0.07262036244477602,98.17567567567568
8,0.07195161525326246,0.07116767193388243,98.17567567567568
9,0.07056835294066673,0.06985298733374773,98.17567567567568
10,0.06932384293259201,0.06865583828845406,98.17567567567568
