Epoch,Train Loss,Val Loss,Val Accuracy
1,0.654905167185909,0.6465143910046552,52.67567567567567
2,0.6380466549937529,0.6376688529887112,52.67567567567567
3,0.6290577635907812,0.6290713469990242,52.67567567567567
4,0.6209301706111628,0.6219340017292907,52.67567567567567
5,0.6140247529321261,0.6156845557725856,52.67567567567567
6,0.6076058129258004,0.6096992538065825,52.67567567567567
7,0.6022122841139067,0.6045240015128829,52.702702702702695
8,0.597239832132977,0.6000906883711882,54.554054054054056
9,0.5926244414485302,0.5958015748304697,54.554054054054056
10,0.5887320580972772,0.5918910053664886,54.554054054054056
11,0.584941502708921,0.5892888179105723,54.554054054054056
12,0.5816162417403254,0.5859439224764714,54.554054054054056
13,0.5786795655556263,0.5827787208597007,54.554054054054056
14,0.5758007000970128,0.5820495604443638,51.9054054054054
15,0.5733161432792093,0.5776611252970179,54.554054054054056
16,0.5707618013446969,0.5755957274669293,54.554054054054056
17,0.5690208072232079,0.5733716706523511,54.554054054054056
18,0.5668244139147098,0.5723347844181245,54.554054054054056
19,0.564719895177369,0.570404640955241,54.554054054054056
20,0.562997850585964,0.5679741834730863,54.554054054054056
21,0.5614273532767426,0.5667875022908431,61.85135135135135
22,0.559834717929766,0.5648741045460693,61.85135135135135
23,0.5585240291934283,0.5636764318132997,61.85135135135135
24,0.5569323641911373,0.5624899309772986,61.85135135135135
25,0.5557175311522742,0.5618864955875891,61.85135135135135
26,0.5547090025898531,0.5599513574555314,61.85135135135135
27,0.5535140828278765,0.5588913757745259,61.85135135135135
28,0.5524606250316252,0.5580047562238222,61.85135135135135
29,0.5513787275910199,0.5568884339692572,61.85135135135135
30,0.5503672352662414,0.5561608461013561,61.85135135135135
31,0.5493371628191782,0.5551412786128668,61.85135135135135
32,0.5485220831935704,0.5543338878669454,61.85135135135135
33,0.5476317930681194,0.553238584769878,61.85135135135135
34,0.5467941452386731,0.5526592887065982,61.85135135135135
35,0.5462092120679667,0.5517604831952253,61.85135135135135
36,0.5453575618330261,0.5510094547096329,61.85135135135135
37,0.5444892532130816,0.5504019606334501,61.85135135135135
38,0.5440636769195655,0.5496969868159715,61.85135135135135
39,0.5432276358792624,0.5491553632517054,61.85135135135135
40,0.5428695870951029,0.5484490038506878,61.85135135135135
